region,avg_price,avg_volume,price_std,volume_std,price_growth,volume_growth,cluster,dist_to_centroid,outlier
Albany,1.5610355029585798,47537.86973372781,0.2919856179843227,49848.851328575845,0.0643900495072269,0.2736984135871006,1,1.3338687778458689,False
Atlanta,1.337958579881657,262145.3220414201,0.39829715961754175,263107.0667872309,0.03491052256713089,0.21693379127566734,1,0.645714924317514,False
BaltimoreWashington,1.5342307692307693,398561.8914792899,0.2994279907786196,387253.74149556813,0.22689752792548282,-0.009935274144001277,0,1.0817807830664279,False
Boise,1.3481360946745562,42642.567307692305,0.4579114168660523,42479.404395915524,0.08654522979724273,0.23422261135904404,1,0.6827418830179118,False
Boston,1.5308875739644972,287792.8545266272,0.3280738397010253,284412.8680484822,0.13977777093785584,0.09390353134066834,3,0.8848135333448724,False
BuffaloRochester,1.5168343195266274,67936.30295857988,0.2743620208093532,66260.16449336511,0.02791663534541091,0.28864074837323117,1,1.085228051112509,False
Charlotte,1.60603550295858,105193.91840236686,0.41449224443197613,103167.37351755223,0.12314118476013282,0.2301805449046563,3,0.8913797078525945,False
Chicago,1.5567751479289942,395569.04884615383,0.3354388812586683,384600.2249240286,0.2213421268216034,-0.031020430257863635,0,0.9801274962721174,False
CincinnatiDayton,1.2092011834319527,131721.91588757397,0.3513217278190526,122463.80126763172,0.09741788288125154,0.264092297063969,1,1.066568870059841,False
Columbus,1.2527810650887574,88737.75568047336,0.3159075560551687,86241.13165979878,0.032825175462582595,0.27990828977325627,1,0.5650046282909245,False
DallasFtWorth,1.0855917159763313,616625.1081360948,0.2957419461031537,611748.5037310139,0.09193610825913506,0.07759480475307254,2,0.7359175676555997,False
Denver,1.2185798816568048,410954.2484911243,0.31791474858605107,394082.4395552664,0.14307883349701916,0.06546848077876985,2,1.385246508180417,False
Detroit,1.276094674556213,187640.29402366866,0.318163521822411,187551.78984104726,0.0005883517204544915,0.11934750740895579,1,1.280147095882393,False
GrandRapids,1.505,89383.83411242603,0.36950223153560574,96348.03254985798,0.14925002241606786,-0.1182292021091505,0,1.2743778004558601,False
HarrisburgScranton,1.5132840236686391,123694.84816568048,0.3182036688624605,118830.83498710638,0.08434165675294164,0.10813003544100598,3,1.0491201753987616,False
HartfordSpringfield,1.818639053254438,149912.8327218935,0.4689889813024155,147434.75973684172,0.08039498391602087,-0.008491138567778425,0,1.7680906873097388,False
Houston,1.0479289940828402,601088.3662721894,0.30215521732816225,606269.8796113844,0.053411805435347154,0.22391306104365533,2,1.5719674657550433,False
Indianapolis,1.3139940828402368,89536.66103550296,0.2828936321067424,89110.20532899801,-0.009103668890687226,0.19824457996599498,1,0.8776716371634231,False
Jacksonville,1.5109467455621302,85177.52881656804,0.41774119542410776,90623.31955755284,0.112058477047566,0.2568604003611906,3,0.7868343197085605,False
LasVegas,1.3809171597633136,160878.42130177515,0.4739680831648598,158935.94808097213,0.035784908841258144,0.10052893372937768,1,1.2132828094537254,False
LosAngeles,1.2160059171597632,1502652.507781065,0.37855695073535034,1488844.9687620755,0.19510498096836268,0.049050306533541956,2,3.1589085262294576,False
Louisville,1.2866863905325443,47624.2674556213,0.3189908455073545,47199.860256341235,0.04840179064480616,0.20327775185008126,1,0.5642275960672628,False
MiamiFtLauderdale,1.428491124260355,288974.035591716,0.33649410148829945,312463.1581369746,0.18357707735337642,0.20388496053706723,3,0.7923592378937396,False
Nashville,1.2121005917159764,105361.21073964496,0.33202913863353345,104624.25925026074,-0.029134984566739353,0.4655555694624283,1,2.036091149239841,True
NewOrleansMobile,1.304792899408284,135192.71177514794,0.3001366429808561,139836.28752492077,0.11940144715149287,0.1099059340770347,3,1.2021414008471332,False
NewYork,1.7275739644970414,712231.1465384616,0.3958981474795095,705358.9169279102,0.10056825515550073,0.04009142224649152,0,1.9914009097676098,False
Orlando,1.5062130177514794,173552.37837278107,0.39315264083963025,184000.61720772364,0.12062863234470228,0.25387238079261965,3,0.6184638425579585,False
Philadelphia,1.6321301775147927,212540.82301775145,0.320283935012776,206932.95495382705,0.0977833046748681,0.04589328915155014,0,1.052364375122326,False
PhoenixTucson,1.2244378698224851,578826.3683431953,0.54828284193781,597484.6612371906,0.09975823217863847,0.04967247753825965,2,0.8374558127934623,False
Pittsburgh,1.364319526627219,55640.07636094674,0.17547302320519848,55295.88323952006,-0.03147146605127286,0.4800462242598474,1,2.0280277591465223,True
Portland,1.3177218934911241,327077.549112426,0.4640287577358754,319151.37915197684,0.09757428264820087,0.2955891583569162,1,1.1595851342162347,False
RaleighGreensboro,1.5551183431952662,142611.63213017752,0.42730625875631717,139101.6845739082,0.22026430615254042,0.22694938956912153,3,1.2256712062280806,False
RichmondNorfolk,1.2913313609467456,124943.34748520711,0.2561139680914628,121025.38909173924,0.09786125563155236,0.14920130063870388,1,1.1402611719985813,False
Roanoke,1.2479289940828402,74088.78937869822,0.2811989501093578,69439.83589033343,0.10690641142779415,0.17027178649427854,1,1.225796168976836,False
Sacramento,1.6215680473372782,222377.94928994082,0.44513882385965237,224536.48728539445,0.2200891865656185,0.03522652481236155,0,0.9478361033433592,False
SanDiego,1.3981656804733726,265656.5671301775,0.4564514876732145,262594.49023903656,0.2435175324194571,0.0035908906539744998,0,1.6561382316476023,False
SanFrancisco,1.804201183431953,401864.4727218935,0.5653712163031606,403232.3809717508,0.2127535038113004,0.041466333038620934,0,1.4791062885050719,False
Seattle,1.4425739644970414,323118.869704142,0.47278724222648955,302840.1192991361,0.12454411976686516,0.18272879687609533,3,0.6600984854611065,False
Spokane,1.4455917159763314,46051.11088757397,0.48596482897978915,45339.76818967279,0.1457768703393739,0.2086819141064991,3,0.5505124486691401,False
StLouis,1.430621301775148,94890.03943786981,0.4180034838873002,94828.13168921818,0.058819412179977944,-0.10947050950971947,0,2.04681260449485,False
Syracuse,1.5203254437869822,32374.756449704142,0.25072514536805485,31633.083700426712,0.039499006888892685,0.3391064629690966,1,1.258487727693252,False
Tampa,1.4088461538461539,195279.70210059173,0.34109028365283917,209128.77823656463,0.19364462934805457,0.17691290915697855,3,0.8277509948971304,False
